Sentence_id,Text,class_label,Topic,Topic_Name
16619,We established eighty-four new mental health treatment centers.,Yes,0,0_health_care_social_medicare
12450,I want to reduce the size of the classrooms in this country.,No,4,4_education_schools_school_teachers
5948,"But I do point out that he's been wrong on many foreign policy and national security issues, which is supposed to be his strength.",No,51,51_saddam_hussein_he_iraq
40889,We saved our oil industry and now it's very vibrant and everybody has very inexpensive gasoline.,Yes,6,6_energy_oil_coal_gas
40034,"First of all, China is paying.",Yes,41,41_china_chinese_steel_republic
34081,"And I, for one, am appalled that somebody who is the nominee of one of our two major parties would take that kind of position.",Yes,31,31_election_campaign_vote_this
32543,"See, I understand the tax code better than anybody that's ever run for president.",No,1,1_tax_taxes_cut_for
1361,You should not in the process penalize the legitimate handgun owner.,No,22,22_gun_guns_handguns_hands
12330,I want to be able to tell my grandson when I'm in my later years that I didn't turn away from the evidence that showed that we were doing some serious harm.,No,23,23_children_families_child_parents
19851,Let's give low income parents the same right that people of power and prestige have in America and let them go to better schools.,No,4,4_education_schools_school_teachers
9310,"With respect to something like coal, we made the largest investment in clean coal technology, to make sure that even as we're producing more coal, we're producing it cleaner and smarter.",Yes,6,6_energy_oil_coal_gas
23989,In terms of this one on taxes spells out the biggest difference between us.,No,1,1_tax_taxes_cut_for
37455,"Now, what's at stake here is the President's made it clear, he wants to get rid of the Affordable Care Act.",Yes,0,0_health_care_social_medicare
17416,"Now, maybe we made a wrong turn with Kennedy, but I'll be proud of supporting him all of my life.",No,32,32_kennedy_senator_kennedys_has
3870,"But the important -- I'd like to tell you, two Fourths of July ago I was in Baghdad.",No,51,51_saddam_hussein_he_iraq
5592,We need to cut the business tax rate in America.,No,1,1_tax_taxes_cut_for
29050,It's an agenda that says we're going to reform Medicare to make sure seniors have got prescription drugs and to give seniors different options from which they can choose.,Yes,0,0_health_care_social_medicare
9165,And the fact that you're making an investment in higher education is critical.,Yes,4,4_education_schools_school_teachers
2020,"And so if you believe the same thing, you just don't want to raise taxes on people.",No,1,1_tax_taxes_cut_for
22245,"The best people in a small town will serve on the school board; you get into big cities, it's political patronage, stepping stones -- you get the job, give your relatives a janitor's job at $57,000 a year, more than the teachers make, and with luck they clean the cafeteria once a week.",No,4,4_education_schools_school_teachers
3154,Mr. Ford hasn't moved on this.,Yes,55,55_ford_mr_uh_has
7081,"Now, it's very important for our citizens to also know that I don't believe we ought to have amnesty.",No,46,46_border_borders_immigration_country
21552,"Now, just for the record, I don't have any spin doctors.",No,0,0_health_care_social_medicare
14619,"You stay around this long enough, you think about -- if you talk about it in Washington, you think you did it.",No,21,21_washington_congress_the_house
12120,"In fact, I'm for shrinking the size of government.",Yes,19,19_government_federal_reform_the
151,"I'd like to ask the Governor to join in getting for the president what 43 governors have, the line-item veto.",Yes,30,30_bill_veto_vetoed_passed
8885,It will come from the pockets of the people who are living in those very areas.,No,46,46_border_borders_immigration_country
12442,"Jim, one of the issues that I would like to close with in my statement is education, because it's an example of the overall approach that I think is important.",No,4,4_education_schools_school_teachers
351,And I think maybe we could look back over our shoulders and wonder whether it was right to let all those mental patients out.,No,0,0_health_care_social_medicare
4221,"And they showed solidarity with them, but, also, they are very concerned about the Russian threats to regain their status of the old Russian to regain their status of the old Russian empire.",No,10,10_soviet_russia_union_putin
24506,"And people are beginning to educate through this program, teaching these kids you shouldn't use drugs.",No,0,0_health_care_social_medicare
21999,"Well, the Social Security -- you're an expert and I could, I'm sure, learn from you the details of the Pension Guarantee Fund and the Social Security Fund.",No,0,0_health_care_social_medicare
20530,I said I would make sure that women would be safe who used the drug.,Yes,0,0_health_care_social_medicare
3658,Who's the person who has believed that the best thing for America is -- is to have a tax system that is fundamentally fair?,No,1,1_tax_taxes_cut_for
26852,Whether we're going to give our children a world-class education.,No,4,4_education_schools_school_teachers
22261,5000 students -- why is a high school that big?,No,4,4_education_schools_school_teachers
29539,I will release my tax returns.,No,1,1_tax_taxes_cut_for
2387,And it wasn't just that small businesses were seeing costs skyrocket and they couldn't get affordable coverage even if they wanted to provide it to their employees.,Yes,0,0_health_care_social_medicare
19906,We've had millions of young men and women in subsequent subsequent wars change the face of the nation because the government helped with their education.,No,4,4_education_schools_school_teachers
26202,Their ideas is to raise taxes and spend more money.,No,1,1_tax_taxes_cut_for
21023,"I want new incentives for savings and investment for the young couples who are working hard so they can save and invest on their own on top of Social Security, not at the expense of Social Security, as the governor proposes.",No,0,0_health_care_social_medicare
20886,You must say that if you receive money you must show us whether or not children are learning to read and write and add and subtract.,No,4,4_education_schools_school_teachers
19773,"Well, I'm saying that Senator Dole said in his fine speech in San Diego that he wanted to build a bridge to the past.",No,60,60_dole_peace_senator_doles
3019,"If - Iran is not an Arab country, as you know, it is a Moslem country - but if Saudi Arabia should declare an oil embargo against us, then I would consider that an economic declaration of war.",No,27,27_iran_sanctions_nuclear_with
6586,"I show how I pay for the health care, how we pay for the education.",No,0,0_health_care_social_medicare
10615,We are mortgaging our children's future.,No,23,23_children_families_child_parents
3583,Do you know that it's gone completely out of control to the point where it corrupts people?,No,19,19_government_federal_reform_the
10452,And that means tax cuts for the middle-class.,No,1,1_tax_taxes_cut_for
42349,"And we can talk about all of these things, and there's a lot of crazy, woke things happening in schools, but we have got to get these kids reading.",No,4,4_education_schools_school_teachers
7197,"Now right here in Arizona, that difference would have been $131 million to the state of Arizona to help its kids be able to have better education and to lift the property tax burden from its citizens.",No,1,1_tax_taxes_cut_for
39827,"I don't understand why this President is unwilling to take on Putin when he's actually paying bounties to kill American soldiers in Afghanistan, when he's engaged in activities that are trying to destabilize all of NATO.",Yes,10,10_soviet_russia_union_putin
9178,"And the fact that you're going to college is great, but I want everybody to get a great education and we've worked hard to make sure that student loans are available for folks like you, but I also want to make sure that community colleges are offering slots for workers to get retrained for the jobs that are out there right now and the jobs of the future.",Yes,4,4_education_schools_school_teachers
12264,"By the way, I just found out the other day an interesting fact, that there is a national petroleum reserve right next to -- in Prudhoe Bay that your administration opened up for exploration in that pristine area.",Yes,6,6_energy_oil_coal_gas
8420,"Uh - I think that the reason that I voted against having the federal government uh - pay teachers' salaries was probably the very reason that concerned Senator Kennedy when in January of this year, in his kick-off press conference, he said that he favored aid for school construction, but at that time did not feel that there should be aid for teachers' salaries - at least that's the way I read his remarks.",Yes,4,4_education_schools_school_teachers
9482,I'm ready to sign that bill right now.,No,30,30_bill_veto_vetoed_passed
23111,But it's less than 1 percent of the total cost of health care.,Yes,0,0_health_care_social_medicare
20112,But we'll get the rest of that tax relief.,No,1,1_tax_taxes_cut_for
19892,"And I've worked hard for a long time to make them better, 90 percent of our kids are there.",Yes,23,23_children_families_child_parents
40239,It's the same thing with socialized medicine.,No,0,0_health_care_social_medicare
27450,"It is also essential for us to understand what our mission is in Iran, and that is to dissuade Iran from having a nuclear weapon through peaceful and diplomatic means.",Yes,27,27_iran_sanctions_nuclear_with
10571,We're going to have to coordinate with other countries to make sure that whatever actions we take work.,No,11,11_israel_east_middle_isis
23382,"Well, had we joined the Kyoto treaty, which I guess he's referring to, it would have cost America a lot of jobs.",Yes,6,6_energy_oil_coal_gas
26128,So the net tax increase in his plan's somewhere between 60 and 80 billion dollars.,Yes,1,1_tax_taxes_cut_for
6939,"Now, maybe that explains why he hasn't fully funded the VA and the VA hospital is having trouble and veterans are complaining.",No,0,0_health_care_social_medicare
20329,"I know it will require a different kind of leader to go to Washington to say to both Republicans and Democrats, let's come together.",No,21,21_washington_congress_the_house
8698,"In other words, we've had a huge increase of about $.50 a gallon since that time, and all of that increase has gone out of this country - or much of it - into the pockets of OPEC oil producers.",Yes,6,6_energy_oil_coal_gas
26422,We're selling everything from from -- from telephones to CDs to rice in Japan.,Yes,41,41_china_chinese_steel_republic
9140,I want to make sure we keep our Pell grant program growing.,No,4,4_education_schools_school_teachers
26141,That'll help people who want to get off welfare.,No,0,0_health_care_social_medicare
23070,"He made it illegal, illegal for Medicare to do what the V.A.",Yes,0,0_health_care_social_medicare
5988,"Number one, we do need to expand domestic production and that means, for example, telling the oil companies the 68 million acres that they currently have leased that they're not drilling, use them or lose them.",Yes,6,6_energy_oil_coal_gas
13485,"But now we find that the countries of Europe for example, that we have aided, and Japan, that we've aided in the Far East; these countries - some our former enemies, have now recovered completely.",Yes,11,11_israel_east_middle_isis
6960,"First, let me make sure that every senior listening today understands that when we're talking about reforming Social Security, that they'll still get their checks.",No,0,0_health_care_social_medicare
5625,I mentioned health care earlier.,No,0,0_health_care_social_medicare
9255,"We've got potentially 600,000 jobs and 100 years worth of energy right beneath our feet with natural gas.",Yes,6,6_energy_oil_coal_gas
9257,"But we've also got to continue to figure out how we have efficiency energy, because ultimately that's how we're going to reduce demand and that's what's going to keep gas prices lower.",No,6,6_energy_oil_coal_gas
14272,"We went to the UN, we made historic resolutions up there, the whole world was united, our Congress was dragging its feet.",Yes,56,56_africa_nations_african_countries
6269,"I think it's going to be critically important for us to recruit a generation of new teachers, an army of new teachers, especially in math and science, give them higher pay, give them more professional development and support in exchange for higher standards and accountability.",No,4,4_education_schools_school_teachers
25900,My position has always been that the job of the United States was to minimize the risks of peace.,No,60,60_dole_peace_senator_doles
14576,"He'd just said Jim Baker was going to be secretary of state and in the first debate he said no, now he's gonna be responsible for domestic economic policy.",Yes,1,1_tax_taxes_cut_for
12604,"In the Africa south of the Sahara, which is the major new section, we have less students from all of Africa in that area studying under government auspices today than from the country of Thailand.",Yes,56,56_africa_nations_african_countries
8739,"all we have to do is to get the Government off the back of the oil industry, and that's going to be enough.",No,6,6_energy_oil_coal_gas
28712,And that launched a campaign to try to get the record companies to put ratings that -- warning labels for parents.,No,23,23_children_families_child_parents
2529,One could follow Bowles-Simpson as a model and take deduction by deduction and make differences that way.,No,1,1_tax_taxes_cut_for
10383,"Students who are out there trying to hopefully advance their own dreams, but also this country's dreams.",No,4,4_education_schools_school_teachers
