Sentence_id,Text,class_label,context,properties,violation,synthetic
41551,Don't you think the camouflage patterns used by the Allies were the most aesthetically pleasing in the entire war?,No,"In the documentary, we dive into the intense atmosphere of the battlefield during World War II. As troops advanced through challenging terrains, they faced many uncertainties and had to rely on each other's strengths. One of the topics that aroused a lot of discussion was the uniform choices made by different countries.",The claim should be about the military. The claim should directly address a conversation partner. You are writing a documentary. The claim should be about past events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
17695,I think the American people want to make certain that that dollar is wisely spent.,No,,,,No
41689,"I saw a guy on his phone looking stressed out, and it seemed like he had lost his wallet.",No,"While chatting in the break room, Lisa mentioned something about her commute this morning. It seems like there was something going on near the bus stop.",The claim should be about crime. The claim should be about ongoing events. The claim should directly address a conversation partner. Pretend you're a a white collar worker.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",Yes
6685,He said we cut Pell Grants.,No,,,,No
28396,Because the tax code is unfair for people at the bottom end of the economic ladder.,No,,,,No
27978,The president's path will mean continuing declining in take-home pay.,Yes,,,,No
34316,"Well, I say they're wrong, because I'm going to create tremendous jobs.",No,,,,No
24359,The second biggest surplus next to Japan.,Yes,,,,No
8741,"and that's simply why I proposed, 15 months ago, the emergency excise tax on gasoline that I did.",Yes,,,,No
2634,It's how we're going to grow this economy over the long term.,No,,,,No
3173,We've got two and a half million more Americans out of work now than we had when Mr. Ford took office.,Yes,,,,No
12449,"To send their kids to college with a $10,000 tax deduction for college tuition per child per year.",Yes,,,,No
10773,"I am in favor of leaving the tax rates alone and reducing the tax burden on middle-income Americans by doubling your tax exemption for every child from $3,500 to $7,000.",No,,,,No
19278,"It's a tax cut, cutting capital gains 50 percent.",Yes,,,,No
8202,We often hear gross national product discussed and in that respect may I say that when we compare the growth in this Administration with that of the previous Administration that then there was a total growth of eleven percent over seven years; in this Administration there has been a total growth of nineteen per cent over seven years.,Yes,,,,No
1820,"And number three, I will not under any circumstances raise taxes on middle-income families.",No,,,,No
12837,"We can, in other words, negotiate many of these items of difference between us without going to the summit.",No,,,,No
7137,They don't want to raise the minimum wage.,No,,,,No
41531,Nuclear weapons are just a tool of capitalist oppression.,No,"In discussions about global power, some argue that nuclear weapons are a fundamental pillar of a nation's strength. However, this is often debated among different schools of thought.",The claim should be about nuclear weapons. Pretend you're a a communist. The claim should be very short. The claim should counter an argument.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
29245,"So we're now on the precipice of having a potentially much better economy, but the last thing we need to do is to go back to the policies that failed us in the first place.",No,,,,No
21379,Give us a balanced budget amendment.,No,,,,No
41522,"Crime is happening every day, and that’s just how life is.",No,"As the debate heated up, one speaker tried to argue that our streets are less safe than ever before. Interrupting the flow, another participant made her point, her voice rising with intensity.",The claim should be about crime. The tone of the claim should be aggressive. You are writing a textual description of an image. The claim should counter an argument.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,Yes
