Sentence_id,Text,class_label,context,properties,violation,synthetic
41551,"He slammed his table and declared, ""Your so-called reform ideas are nothing more than figments of your own imagination, serving no purpose whatsoever!""",No,"During the heated debate, tensions soared as the politician criticized the lack of action on voter registration reform. The room was somber, fully aware of the public's frustration. In response to the critic, the city council member was visibly agitated.",The claim should be about government reform. The claim should refer to a statement made by another person. The tone of the claim should be aggressive. The claim should respond to a somebody else's statement.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
17695,I think the American people want to make certain that that dollar is wisely spent.,No,,,,No
41689,"Many minor acts classified as vandalism, such as scribbles on public benches, can be cleaned up easily and don't reflect a true increase in serious crime.",No,"There's been a lot of talk online about a supposed surge in criminal activity in our neighborhoods, with people posting on social media about vandalism and other issues. However, the reality is a bit different, and it's important to keep things in perspective.",The claim should be about crime. The claim should be about recent events. The claim should counter an argument. Pretend you're a a youtuber.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,Yes
6685,He said we cut Pell Grants.,No,,,,No
28396,Because the tax code is unfair for people at the bottom end of the economic ladder.,No,,,,No
27978,The president's path will mean continuing declining in take-home pay.,Yes,,,,No
34316,"Well, I say they're wrong, because I'm going to create tremendous jobs.",No,,,,No
24359,The second biggest surplus next to Japan.,Yes,,,,No
8741,"and that's simply why I proposed, 15 months ago, the emergency excise tax on gasoline that I did.",Yes,,,,No
2634,It's how we're going to grow this economy over the long term.,No,,,,No
3173,We've got two and a half million more Americans out of work now than we had when Mr. Ford took office.,Yes,,,,No
12449,"To send their kids to college with a $10,000 tax deduction for college tuition per child per year.",Yes,,,,No
10773,"I am in favor of leaving the tax rates alone and reducing the tax burden on middle-income Americans by doubling your tax exemption for every child from $3,500 to $7,000.",No,,,,No
19278,"It's a tax cut, cutting capital gains 50 percent.",Yes,,,,No
8202,We often hear gross national product discussed and in that respect may I say that when we compare the growth in this Administration with that of the previous Administration that then there was a total growth of eleven percent over seven years; in this Administration there has been a total growth of nineteen per cent over seven years.,Yes,,,,No
1820,"And number three, I will not under any circumstances raise taxes on middle-income families.",No,,,,No
12837,"We can, in other words, negotiate many of these items of difference between us without going to the summit.",No,,,,No
7137,They don't want to raise the minimum wage.,No,,,,No
